trace,trace_type,eviction,prefetcher,cache_size,interaction_window,miss_ratio,byte_miss_ratio,n_req,n_prefetch,n_prefetch_then_evict,n_evict,n_evict_then_prefetch,log_path,status
request_counts.csv,oracleGeneral,lru,Mithril,16mb,10000,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__16mb__w10000.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,64mb,10,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__64mb__w10.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,16mb,0,1.0000,1.0000,71,,,,,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__16mb__w0.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,64mb,0,1.0000,1.0000,71,,,,,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__64mb__w0.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,16mb,1000,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__16mb__w1000.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,16mb,10,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__16mb__w10.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,16mb,1,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__16mb__w1.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,256mb,0,1.0000,1.0000,71,,,,,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__256mb__w0.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,16mb,100,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__16mb__w100.log,ok
request_counts.csv,oracleGeneral,lru,PG,16mb,0,1.0000,1.0000,71,,,,,./results/cp_sweep/logs/request_counts.csv__lru__PG__16mb__w0.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,64mb,1,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__64mb__w1.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,256mb,1000,1.0000,1.0000,71,0,0,1,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__256mb__w1000.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,64mb,1000,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__64mb__w1000.log,ok
request_counts.csv,oracleGeneral,lru,Mithril,64mb,10000,1.0000,1.0000,71,0,0,0,0,./results/cp_sweep/logs/request_counts.csv__lru__Mithril__64mb__w10000.log,ok
